Date : 2024-05-25 12:24:36
Directory : c:\Serious Project\Programing Studio 1\terrascope-frontend\public
Total : 72 files,  -3422 codes, 0 comments, -178 blanks, all -3600 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          1 |         25 |          0 |          1 |         26 |
| HTML           |          1 |         20 |         23 |          1 |         44 |
| PostCSS        |          2 |        -40 |          0 |         -7 |        -47 |
| JavaScript     |          6 |        -78 |         -8 |        -12 |        -98 |
| XML            |         12 |     -1,212 |         -1 |         -9 |     -1,222 |
| JavaScript JSX |         50 |     -2,137 |        -14 |       -152 |     -2,303 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |         72 |     -3,422 |          0 |       -178 |     -3,600 |
| . (Files)                                                                                                                                                                    |          2 |         45 |         23 |          2 |         70 |
| ..                                                                                                                                                                           |         70 |     -3,467 |        -23 |       -180 |     -3,670 |
| ..\src                                                                                                                                                                       |         70 |     -3,467 |        -23 |       -180 |     -3,670 |
| ..\src (Files)                                                                                                                                                               |          7 |       -107 |         -7 |        -17 |       -131 |
| ..\src\api                                                                                                                                                                   |          1 |        -11 |         -1 |         -2 |        -14 |
| ..\src\assets                                                                                                                                                                |         12 |     -1,212 |         -1 |         -9 |     -1,222 |
| ..\src\components                                                                                                                                                            |         28 |     -1,001 |         -1 |        -73 |     -1,075 |
| ..\src\components\common                                                                                                                                                     |         27 |       -966 |         -1 |        -71 |     -1,038 |
| ..\src\components\common\dual-slider-with-inputs                                                                                                                             |          2 |       -107 |          0 |         -4 |       -111 |
| ..\src\components\common\dual-switch-button                                                                                                                                  |          1 |        -69 |          0 |         -3 |        -72 |
| ..\src\components\common\pagination                                                                                                                                          |          7 |       -196 |          0 |        -23 |       -219 |
| ..\src\components\common\population-change-information                                                                                                                       |          4 |        -95 |         -1 |        -10 |       -106 |
| ..\src\components\common\process-button                                                                                                                                      |          1 |        -10 |          0 |         -1 |        -11 |
| ..\src\components\common\search-and-chips                                                                                                                                    |          4 |       -240 |          0 |         -8 |       -248 |
| ..\src\components\common\select-box                                                                                                                                          |          1 |        -22 |          0 |         -3 |        -25 |
| ..\src\components\common\select-search-box                                                                                                                                   |          1 |        -58 |          0 |         -1 |        -59 |
| ..\src\components\common\temperature-and-population-change-information                                                                                                       |          1 |        -49 |          0 |         -2 |        -51 |
| ..\src\components\common\temperature-change-information                                                                                                                      |          5 |       -120 |          0 |        -16 |       -136 |
| ..\src\components\settings-side-bar                                                                                                                                          |          1 |        -35 |          0 |         -2 |        -37 |
| ..\src\pages                                                                                                                                                                 |         22 |     -1,136 |        -13 |        -79 |     -1,228 |
| ..\src\pages\deep-dive                                                                                                                                                       |          1 |       -107 |          0 |         -4 |       -111 |
| ..\src\pages\deep-dive\find-similar-period                                                                                                                                   |          1 |       -107 |          0 |         -4 |       -111 |
| ..\src\pages\deep-dive\find-similar-period\cities                                                                                                                            |          1 |       -107 |          0 |         -4 |       -111 |
| ..\src\pages\home                                                                                                                                                            |          8 |       -369 |         -8 |        -30 |       -407 |
| ..\src\pages\home (Files)                                                                                                                                                    |          2 |        -17 |          0 |         -3 |        -20 |
| ..\src\pages\home\hero-section                                                                                                                                               |          3 |        -70 |          0 |        -11 |        -81 |
| ..\src\pages\home\map-preview-section                                                                                                                                        |          3 |       -282 |         -8 |        -16 |       -306 |
