Date : 2024-05-26 14:40:54
Directory : c:\Serious Project\Programing Studio 1\terrascope-frontend\src
Total : 82 files,  4539 codes, 23 comments, 228 blanks, all 4790 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         62 |      3,196 |         14 |        201 |      3,411 |
| XML            |         12 |      1,212 |          1 |          9 |      1,222 |
| JavaScript     |          6 |         91 |          8 |         11 |        110 |
| PostCSS        |          2 |         40 |          0 |          7 |         47 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |         82 |      4,539 |         23 |        228 |      4,790 |
| . (Files)                                                                                                                                                                    |          7 |        117 |          7 |         16 |        140 |
| api                                                                                                                                                                          |          1 |         14 |          1 |          2 |         17 |
| assets                                                                                                                                                                       |         12 |      1,212 |          1 |          9 |      1,222 |
| components                                                                                                                                                                   |         29 |      1,241 |          1 |         85 |      1,327 |
| components\common                                                                                                                                                            |         28 |      1,199 |          1 |         83 |      1,283 |
| components\common\dual-slider-with-inputs                                                                                                                                    |          2 |        115 |          0 |          4 |        119 |
| components\common\dual-switch-button                                                                                                                                         |          1 |         77 |          0 |          3 |         80 |
| components\common\image-with-calculation-warning                                                                                                                             |          1 |        122 |          0 |          8 |        130 |
| components\common\image-with-warning                                                                                                                                         |          1 |         66 |          0 |          5 |         71 |
| components\common\pagination                                                                                                                                                 |          7 |        197 |          0 |         23 |        220 |
| components\common\population-change-information                                                                                                                              |          4 |        120 |          1 |         11 |        132 |
| components\common\process-button                                                                                                                                             |          1 |         14 |          0 |          2 |         16 |
| components\common\search-and-chips                                                                                                                                           |          4 |        238 |          0 |          8 |        246 |
| components\common\select-box                                                                                                                                                 |          1 |         22 |          0 |          3 |         25 |
| components\common\select-search-box                                                                                                                                          |          1 |         58 |          0 |          1 |         59 |
| components\common\temperature-and-population-change-information                                                                                                              |          1 |         56 |          0 |          3 |         59 |
| components\common\temperature-change-information                                                                                                                             |          4 |        114 |          0 |         12 |        126 |
| components\settings-side-bar                                                                                                                                                 |          1 |         42 |          0 |          2 |         44 |
| pages                                                                                                                                                                        |         33 |      1,955 |         13 |        116 |      2,084 |
| pages\deep-dive                                                                                                                                                              |         12 |        882 |          0 |         42 |        924 |
| pages\deep-dive\find-similar-period                                                                                                                                          |          6 |        608 |          0 |         26 |        634 |
| pages\deep-dive\find-similar-period\cities                                                                                                                                   |          4 |        313 |          0 |         10 |        323 |
| pages\deep-dive\find-similar-period\countries                                                                                                                                |          1 |        148 |          0 |          8 |        156 |
| pages\deep-dive\find-similar-period\states                                                                                                                                   |          1 |        147 |          0 |          8 |        155 |
| pages\deep-dive\temperature-change-over-periods                                                                                                                              |          6 |        274 |          0 |         16 |        290 |
| pages\deep-dive\temperature-change-over-periods\cities                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| pages\deep-dive\temperature-change-over-periods\countries                                                                                                                    |          5 |        274 |          0 |         15 |        289 |
| pages\home                                                                                                                                                                   |          8 |        369 |          8 |         30 |        407 |
| pages\home (Files)                                                                                                                                                           |          2 |         17 |          0 |          3 |         20 |
| pages\home\hero-section                                                                                                                                                      |          3 |         70 |          0 |         11 |         81 |
| pages\home\map-preview-section                                                                                                                                               |          3 |        282 |          8 |         16 |        306 |
| pages\shallow-glance                                                                                                                                                         |         13 |        704 |          5 |         44 |        753 |
| pages\shallow-glance\cities-and-states                                                                                                                                       |          4 |        293 |          4 |         11 |        308 |
| pages\shallow-glance\countries                                                                                                                                               |          3 |        161 |          0 |         12 |        173 |
| pages\shallow-glance\world                                                                                                                                                   |          6 |        250 |          1 |         21 |        272 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                     | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.css                                                                                                       | PostCSS        |         33 |          0 |          6 |         39 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.js                                                                                                        | JavaScript     |         44 |          0 |          2 |         46 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.test.js                                                                                                   | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\api\api.js                                                                                                    | JavaScript     |         14 |          1 |          2 |         17 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow-down.svg                                                                                         | XML            |          1 |          0 |          0 |          1 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow-up.svg                                                                                           | XML            |          1 |          0 |          0 |          1 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow.svg                                                                                              | XML            |          3 |          0 |          1 |          4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\change-line.svg                                                                                        | XML            |          3 |          0 |          0 |          3 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\dots.svg                                                                                               | XML            |        130 |          0 |          1 |        131 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\ellipse.svg                                                                                            | XML            |          3 |          0 |          1 |          4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\leaf.svg                                                                                               | XML            |          3 |          0 |          1 |          4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\line.svg                                                                                               | XML            |          3 |          0 |          1 |          4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\logo.svg                                                                                               | XML            |         22 |          0 |          1 |         23 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\long-change-line.svg                                                                                   | XML            |          3 |          0 |          1 |          4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\rectangle.svg                                                                                          | XML            |          3 |          0 |          1 |          4 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\world.svg                                                                                              | XML            |      1,037 |          1 |          1 |      1,039 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\DualSliderWithInputs.jsx                                            | JavaScript JSX |         76 |          0 |          1 |         77 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\InputField.jsx                                                      | JavaScript JSX |         39 |          0 |          3 |         42 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-switch-button\DualSwitchButton.jsx                                                     | JavaScript JSX |         77 |          0 |          3 |         80 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\image-with-calculation-warning\ImageWithCalculationWarning.jsx                              | JavaScript JSX |        122 |          0 |          8 |        130 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\image-with-warning\ImageWithWarning.jsx                                                     | JavaScript JSX |         66 |          0 |          5 |         71 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\ArrowLeftButton.jsx                                                              | JavaScript JSX |         19 |          0 |          3 |         22 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\ArrowRightButton.jsx                                                             | JavaScript JSX |         19 |          0 |          3 |         22 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\DoubleArrowLeftButton.jsx                                                        | JavaScript JSX |         15 |          0 |          3 |         18 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\DoubleArrowRightButton.jsx                                                       | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\PageInput.jsx                                                                    | JavaScript JSX |         49 |          0 |          5 |         54 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\PageNumber.jsx                                                                   | JavaScript JSX |         15 |          0 |          1 |         16 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\Pagination.jsx                                                                   | JavaScript JSX |         66 |          0 |          5 |         71 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationChangeInformation.jsx                               | JavaScript JSX |         57 |          0 |          6 |         63 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationInfo.jsx                                            | JavaScript JSX |         20 |          0 |          2 |         22 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationPercentageChangeInfo.jsx                            | JavaScript JSX |         23 |          0 |          1 |         24 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationRawChangeInfo.jsx                                   | JavaScript JSX |         20 |          1 |          2 |         23 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\process-button\ProcessButton.jsx                                                            | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\Chip.jsx                                                                   | JavaScript JSX |         27 |          0 |          2 |         29 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\Search.jsx                                                                 | JavaScript JSX |         85 |          0 |          3 |         88 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\SearchAndChips.jsx                                                         | JavaScript JSX |         71 |          0 |          2 |         73 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\WarningModal.jsx                                                           | JavaScript JSX |         55 |          0 |          1 |         56 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\select-box\SelectBox.jsx                                                                    | JavaScript JSX |         22 |          0 |          3 |         25 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\select-search-box\SelectSearchBox.jsx                                                       | JavaScript JSX |         58 |          0 |          1 |         59 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-and-population-change-information\TemperatureAndPopulationChangeInformation.jsx | JavaScript JSX |         56 |          0 |          3 |         59 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureChangeInformation.jsx                             | JavaScript JSX |         61 |          0 |          6 |         67 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureInfo.jsx                                          | JavaScript JSX |         16 |          0 |          2 |         18 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperaturePercentageChangeInfo.jsx                          | JavaScript JSX |         20 |          0 |          1 |         21 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\temperature-change-information\TemperatureRawChangeInfo.jsx                                 | JavaScript JSX |         17 |          0 |          3 |         20 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\settings-side-bar\SettingsSideBar.jsx                                                              | JavaScript JSX |         42 |          0 |          2 |         44 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\index.css                                                                                                     | PostCSS        |          7 |          0 |          1 |          8 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\index.js                                                                                                      | JavaScript     |         13 |          3 |          2 |         18 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\DataDisplay.jsx                                                    | JavaScript JSX |         48 |          0 |          2 |         50 |
