"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.js", "JavaScript", 15, 0, 0, 0, 15
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\InputField.jsx", "JavaScript JSX", 0, -1, 0, 0, -1
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\image-with-warning\ImageWithWarning.jsx", "JavaScript JSX", 0, 4, 0, 1, 5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\Search.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\search-and-chips\SearchAndChips.jsx", "JavaScript JSX", 0, 15, 0, 0, 15
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\select-box\SelectBox.jsx", "JavaScript JSX", 0, -2, 0, 0, -2
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\settings-side-bar\DropdownMenu.jsx", "JavaScript JSX", 0, 39, 0, 2, 41
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\settings-side-bar\SettingsSideBar.jsx", "JavaScript JSX", 0, 54, 0, 0, 54
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\DataInformation.jsx", "JavaScript JSX", 0, 2, 0, 1, 3
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\countries\SimilarPeriodCountries.jsx", "JavaScript JSX", 0, 0, 0, 2, 2
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\cities\TemperatureChangeOverPeriodsCities.jsx", "JavaScript JSX", 0, 128, 0, 6, 134
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\cities\TemperatureChangeOverPeriodsCity.jsx", "JavaScript JSX", 0, 0, 0, -1, -1
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\Header.jsx", "JavaScript JSX", 0, 5, 0, 0, 5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureChangeDisplay.jsx", "JavaScript JSX", 0, 3, 0, 0, 3
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureChangeOverPeriodsCountries.jsx", "JavaScript JSX", 0, 3, 0, -1, 2
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureChangeWithInPeriod.jsx", "JavaScript JSX", 0, 5, 0, 0, 5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureInformation.jsx", "JavaScript JSX", 0, 5, 0, 0, 5
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\states\TemperatureChangeOverPeriodsStates.jsx", "JavaScript JSX", 0, 120, 0, 6, 126
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\ChoroplethMap.jsx", "JavaScript JSX", 0, 14, 0, 3, 17
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\DataInfo.jsx", "JavaScript JSX", 0, 9, 0, 1, 10
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\MapPreviewSection.jsx", "JavaScript JSX", 0, 87, 0, 0, 87
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\SelectedInformation.jsx", "JavaScript JSX", 0, 84, 0, 2, 86
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\Title.jsx", "JavaScript JSX", 0, 16, 0, 1, 17
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\WorldInformation.jsx", "JavaScript JSX", 0, 24, 0, 0, 24
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\YearSlider.jsx", "JavaScript JSX", 0, 47, 0, 1, 48
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\CountriesChangeDisplay.jsx", "JavaScript JSX", 0, -1, 0, 0, -1
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\ShallowGlanceWorld.jsx", "JavaScript JSX", 0, 78, 0, -1, 77
"Total", "-", 15, 739, 0, 23, 777
