"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.css", "PostCSS", 0, 33, 0, 0, 0, 6, 39
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.js", "JavaScript", 59, 0, 0, 0, 0, 2, 61
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\api\api.js", "JavaScript", 14, 0, 0, 0, 1, 2, 17
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow-down.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow-up.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\arrow.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\change-line.svg", "XML", 0, 0, 0, 3, 0, 0, 3
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\dots.svg", "XML", 0, 0, 0, 130, 0, 1, 131
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\ellipse.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\leaf.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\line.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\logo.svg", "XML", 0, 0, 0, 22, 0, 1, 23
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\long-change-line.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\rectangle.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\assets\world.svg", "XML", 0, 0, 0, 1037, 1, 1, 1039
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\DualSliderWithInputs.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 1, 77
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-slider-with-inputs\InputField.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 3, 41
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\dual-switch-button\DualSwitchButton.jsx", "JavaScript JSX", 0, 0, 77, 0, 0, 3, 80
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\image-with-calculation-warning\ImageWithCalculationWarning.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 8, 130
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\image-with-warning\ImageWithWarning.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 6, 76
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\ArrowLeftButton.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 3, 22
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\ArrowRightButton.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 3, 22
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\DoubleArrowLeftButton.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 3, 18
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\DoubleArrowRightButton.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 3, 17
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\PageInput.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 5, 54
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\PageNumber.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 1, 16
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\pagination\Pagination.jsx", "JavaScript JSX", 0, 0, 66, 0, 0, 5, 71
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationChangeInformation.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 6, 63
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationInfo.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 2, 22
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationPercentageChangeInfo.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 1, 24
"c:\Serious Project\Programing Studio 1\terrascope-frontend\src\components\common\population-change-information\PopulationRawChangeInfo.jsx", "JavaScript JSX", 0, 0, 20, 0, 1, 2, 23
